https://content.onliner.by/news/main/b42f5a21566ae72d0a9b7c42f27be9a5.jpeg,"Умный, танцующий, дорогущий и наш родной — выбираем электрочайник домой или на работу","Крепчают морозы. В такие дни хочется чего-то теплого, душевного, расслабляющего. Представляем обзор самых интересных моделей электрочайников по состоянию на конец этого года — по мнению редакции и покупателей каталога Onliner: умный, танцующий, красивый, дешевый и, конечно, белорусский (тем более что последние пора вносить в Красную книгу)."
https://content.onliner.by/news/submain/a0ef25a7d2a2c3911220e4339186a874.jpeg,"«Дело БЕЛТА»: прекращено уголовное преследование всех журналистов, кроме одного","Во вторник стало известно, что прекращено уголовное преследование по так называемому «делу БЕЛТА» в отношении пятерых сотрудников портала Tut.by. В четверг «БелаПАН» сообщает об удовлетворении ходатайства о прекращении уголовного преследования в отношении главного редактора информагентства Ирины Левшиной."
https://content.onliner.by/news/submain/a9d3a58057c56a16c164de2e7a7689ba.jpeg,"Идею хипстера Саши, который пытается построить супертрактор на МТЗ, задумали реализовать?","В Минске проходит инвестиционный форум BelarusCrossway. Спикерами был озвучен вопрос: «Будущее Беларуси — это IT-Мекка или же БелАЗ, МАЗ, МТЗ станут новыми Tesla?» В этот момент на экране показали «сегодняшнюю важнейшую экспортную позицию» — трактор «Беларус». А после — футуристичную модель — ту самую, которую показывал нам герой статьи Onliner Саша Насыр."
https://content.onliner.by/news/submain/c0bd741fbec94add285f2b97b73cf7cb.jpeg,Белорус выехал в Западную Украину и пропал,"Милиция Бреста ищет 44-летнего мужчину. Сергей Александрович Матвеев поехал на автобусе сообщением Брест — Львов до Ковеля — украинского города, часто используемого для транзита. На территории Украины связь с ним пропала. Известно, что он благополучно пересек границу между государствами, а какова его дальнейшая судьба — неизвестно."
https://content.onliner.by/news/submain/c806afcd645105d645883203cb793195.jpeg,«Нельзя ребенку ломать судьбу». Административное дело за оплеуху городовому прекратили,"Напомним, 15 ноября на YouTube-канале МВД появилось видео, где подросток извиняется за оплеуху, которую дал столичной скульптуре городового. Перед этим подростка задержали сотрудники патрульно-постовой службы и составили протокол по статье 17.1 КоАП «Мелкое хулиганство». Сегодня стало известно, что административное дело в отношении парня закрыли."
https://content.onliner.by/news/submain/7106d5cb744b7bdcb1c654b022ea231e.jpeg,ГАИ: в столице нетрезвый пешеход выбежал под трамвай,"«Трамвай двигался по ул. Бядули (со стороны ул. Козлова в направлении ул. Первомайской) и в районе дома номер 12 по ул. Бядули сбил пешехода, — сообщили в Минской ГАИ. — Последний выбежал на проезжую часть справа по ходу движения трамвая. По предварительной информации, у пешехода диагностирована черепно-мозговая травма средней степени тяжести и перелом скуловой кости»."
https://content.onliner.by/news/main/86da4a1799130e0c60e52a444fb03535.jpeg,"Купил Honda, отремонтировал, теперь ее забирают. Очередная история о залоговом автомобиле","История, приключившаяся с жителем Бреста Денисом Подобедовым, показывает, что покупка подержанного автомобиля в Беларуси может стать рискованной авантюрой. Даже если вам удалось поставить машину на учет, нет гарантии, что через несколько месяцев не поступит повестка из суда, мол, верните-ка залоговое имущество. Узнать об обременении транспортного средства можно за деньги — минимальный пакет из трех запросов стоит 16,8 рубля."
https://content.onliner.by/news/submain/155d9b28aec28aa99c471f8e4b670b1f.jpeg,Минск: после столкновения с Audi на перекрестке Lexus оказался на крыше,"«Водитель Audi двигался по Долгиновскому тракту (в сторону улицы Орловской) и на перекрестке совершил столкновение с Lexus, водитель которого двигался по улице Орловской (в сторону Старовиленского тракта), — сообщили в Минской ГАИ. — После столкновения Lexus опрокинулся»."
https://content.onliner.by/news/submain/6963100ecf6260e35f14c83032f244f4.jpeg,"В Минске кто-то повредил 5 автомобилей и скрылся. Потерпевшая: «Предположительно, он был на белом авто»","Читательница Onliner с ником mklimova разыскивает очевидцев ДТП, которое, по ее словам, случилось вчера на улице Киселева в Минске. По предварительной информации, были повреждены 5 автомобилей. А вот виновника на месте происшествия не оказалось."
https://content.onliner.by/news/submain/7dab8eb5129f5aee16ac9b301b1c015c.jpeg,Kia показала Soul третьего поколения,"Компания Kia представила на автосалоне в Лос-Анджелесе кроссовер Soul нового, третьего поколения. Модель сменила платформу и доступна в новых вариантах исполнения GT-Line и X-Line, а также с электрической силовой установкой. В пару к новому двухлитровому мотору Soul впервые предложен умный вариатор IVT от Kia Forte."
https://content.onliner.by/news/main/7365195cd0fc73e5006e1a62fe4b9f96.jpeg,Топ бесплатных приложений в ноябре 2018,"Продолжаем обозревать интересные приложения для двух наиболее востребованных мобильных платформ — Android и iOS. Мы расскажем о понравившихся нам программах, свежие версии которых вышли недавно. С официальными рейтингами и подборками новых приложений традиционно можно ознакомиться на сайтах Google и Apple. В комментариях вы можете перечислить программы, которые, по вашему мнению, также заслуживают внимания."
https://content.onliner.by/news/submain/fcf5b6160d7bf4a84e9e991911568215.jpeg,Криптобиржа Binance объяснила отказ от обслуживания белорусских трейдеров,"Крупная криптовалютная биржа Binance разослала белорусским пользователям письмо, в котором заявила о прекращении работы с клиентами из нашей страны. Подробности и комментарий эксперта читайте в нашем материале."
https://content.onliner.by/news/submain/30b247f5f00712d40875f48986093f39.jpeg,"Глава Gionee проиграл 144 миллиона в казино, компания на грани банкротства","Китайский производитель смартфонов Gionee не добился большой популярности даже у себя на родине. И теперь находится на грани банкротства, не может рассчитаться со своими поставщиками. Ситуацию усугубил тот факт, что председатель Gionee умудрился проиграть в казино $144 млн."
https://content.onliner.by/news/submain/962c129bdeb9928c90e5b5ade9102bff.jpeg,Технологию гибких экранов Samsung незаконно продали китайцам,"Южнокорейские власти расследуют дело о промышленном шпионаже. Под подозрением находится девять человек — сотрудники компании Toptec Co Ltd. Предположительно, топ-менеджер этой фирмы, а также восемь других ее работников замешаны в продаже китайской компании технологии гибких дисплеев, принадлежащей Samsung."
https://content.onliner.by/news/submain/de818f49a59d55da326c596ff4daeec6.jpeg,В сеть попала реклама смартфона Huawei с дыркой в экране,"Ресурс GSMArena опубликовал рекламный плакат Huawei, посвященный смартфону с дыркой в экране. Аппарат будет представлен в декабре, следует из информации на постере. На картинке можно видеть звездное небо с черной дырой в левой части вверху. Она символизирует фронтальную камеру."
https://content.onliner.by/news/submain/236369737d56d183cc72e3ade09e2259.jpeg,Мужчина построил ковчег по библейским описаниям и хочет переправить его в Израиль,"Житель Нидерландов Йохан Хейберс решил построить собственный ковчег еще в 1993 году, когда читал своим детям историю о Ное. Обычной болтовней дело не закончилось: примерно через тринадцать лет его работа была завершена. Тем не менее результат автора не удовлетворил: его судно оказалось вдвое меньше, чем описано в Библии."
https://content.onliner.by/news/main/46e9dad2d2810bee496ba680412fd056.jpeg,"«Чтобы новые окна не воровали, мы на них матерные слова выцарапывали». Исповедь бывшего коммунальщика","Onliner продолжает цикл, который поможет лучше понять людей из разных сфер жизни. В этом выпуске работник обычного минского ЖЭСа расскажет, как сложился образ типичного коммунальщика, объяснит обилие «косяков» и наплевательское отношение, с которым нам порой приходится мириться, и поделится странными коммунальными лайфхаками, о которых многие могли не догадываться."
https://content.onliner.by/news/submain/94cd3f5ea2e916d958b7d80129f9435e.jpeg,"Знаменитый дом-замок под Минском, где проводились закрытые вечеринки, выставлен на продажу за $600 000","Один из самых колоритных и необычных частных домов Беларуси оказался в базе данных Onliner. На продажу выставлен знаменитый шестиэтажный коттедж в Ратомке с интерьерами, полными загадок и абсурда. Стать обладателем дома площадью целых 800 квадратных метров можно за $600 000."
https://content.onliner.by/news/submain/79c2e09982c8044bf6ed430f04006c28.jpeg,Есть чем гордиться? Какие здания в Минске могут стать объектами года,"В Беларуси объявлен ежегодный конкурс на лучшее достижение в строительной отрасли. Жюри определит победителей в различных номинациях, в том числе назовет здания, признанные объектами 2018 года в столице и других регионах страны. Какие же минские новостройки могут носить это гордое звание?"
https://content.onliner.by/news/submain/e94f84e6abb8ee5bdc1d7350f2b9df86.jpeg,В Гомеле продают заброшенный советский кинотеатр. Начальная цена — 147 рублей,"«Юбилейный» был открыт в 1979 году. Типовой двухэтажный кинотеатр работал вплоть до конца 2011 года, однако после его решили закрыть из-за нерентабельности. С тех пор здание неоднократно выставлялось на торги, однако своего покупателя так и не нашло. Цены постепенно снижались: в последний раз продать его пытались за 940 тысяч рублей."
